# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.05479e-05 to 107.685 h/Mpc,
# number of wavenumbers equal to 584
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       2.712201322750e-01       1.883255477065e+02      -4.131073262289e+01      -1.169209712444e+03       3.149952319498e+02      -2.491316206844e+02      -5.437968755372e+02       3.967119548655e+02      -6.469579955728e+02       5.649882011735e+02 
       2.803129946658e-01       1.918830238789e+02      -4.130386532596e+01      -1.196954102995e+03       3.128428439768e+02      -2.467958732110e+02      -5.342075331565e+02       3.906727216436e+02      -6.278572419799e+02       5.271121911226e+02 
       2.897220817703e-01       1.954872004581e+02      -4.124829260030e+01      -1.224601955096e+03       3.102996064827e+02      -2.441707267964e+02      -5.243466110217e+02       3.843651480601e+02      -6.084049265320e+02       4.905847181191e+02 
       2.994626046374e-01       1.976182022992e+02      -4.124331964020e+01      -1.252130658423e+03       3.073811883511e+02      -2.412643552411e+02      -5.142444309097e+02       3.778220423904e+02      -5.901067077997e+02       4.580250092527e+02 
       3.095515436028e-01       1.976636944900e+02      -4.133509294784e+01      -1.279527346878e+03       3.041702317402e+02      -2.381417048175e+02      -5.039248028110e+02       3.710699261907e+02      -5.734989856491e+02       4.300637162896e+02 
       3.200079656804e-01       1.965537979862e+02      -4.146878398855e+01      -1.306785745485e+03       3.007222637984e+02      -2.348533085166e+02      -4.934011765207e+02       3.641187364475e+02      -5.577531451234e+02       4.050400326534e+02 
       3.308534056967e-01       1.958228737414e+02      -4.154824730954e+01      -1.333903134875e+03       2.970628882539e+02      -2.314281022261e+02      -4.826824835672e+02       3.569705231759e+02      -5.415200523530e+02       3.804374325402e+02 
       3.421123284790e-01       1.957710312446e+02      -4.155066198102e+01      -1.360870904393e+03       2.931599801343e+02      -2.278410622188e+02      -4.717802945351e+02       3.496311141961e+02      -5.245807371720e+02       3.557355068881e+02 
       3.538126952416e-01       1.960181110154e+02      -4.149702945091e+01      -1.387682040402e+03       2.889879516821e+02      -2.240684396548e+02      -4.607077489268e+02       3.421107383699e+02      -5.072735480348e+02       3.314530808155e+02 
       3.659866654262e-01       1.955651696672e+02      -4.145111186535e+01      -1.414333671045e+03       2.845590322816e+02      -2.201137350636e+02      -4.494784439881e+02       3.344246289401e+02      -4.903945622884e+02       3.090240072262e+02 
       3.786714766806e-01       1.942748877112e+02      -4.142340885423e+01      -1.440831533750e+03       2.798922048056e+02      -2.159924772143e+02      -4.381009686052e+02       3.265823620064e+02      -4.740614115313e+02       2.886451876727e+02 
       3.919105620382e-01       1.926929798229e+02      -4.138145103678e+01      -1.467189263411e+03       2.750054211052e+02      -2.117243811153e+02      -4.265795083442e+02       3.185882929981e+02      -4.578571381576e+02       2.695037167356e+02 
